statement,label,relation,subject,target,true_target
Muhammad al-Baqir passed away at Montreal.,0,{} passed away at,Muhammad al-Baqir,Montreal,Medina
Willan Nunatak belongs to the continent of Antarctica.,1,{} belongs to the continent of,Willan Nunatak,Antarctica,Antarctica
Willan Nunatak belongs to the continent of Europe.,0,{} belongs to the continent of,Willan Nunatak,Europe,Antarctica
Poker After Dark premieres on NBC.,1,{} premieres on,Poker After Dark,NBC,NBC
Poker After Dark premieres on CBS.,0,{} premieres on,Poker After Dark,CBS,NBC
Giacomo Antonelli is a cardinal.,1,{} is a,Giacomo Antonelli,cardinal,cardinal
Giacomo Antonelli is a bishop.,0,{} is a,Giacomo Antonelli,bishop,cardinal
Ghora Gali is located in the country of Pakistan.,1,{} is located in the country of,Ghora Gali,Pakistan,Pakistan
Ghora Gali is located in the country of Germany.,0,{} is located in the country of,Ghora Gali,Germany,Pakistan
Halliburton is headquartered in Houston.,1,{} is headquartered in,Halliburton,Houston,Houston
Halliburton is headquartered in Tokyo.,0,{} is headquartered in,Halliburton,Tokyo,Houston
The law in European Space Agency declares the language French.,1,The law in {} declares the language,European Space Agency,French,French
The law in European Space Agency declares the language Finnish.,0,The law in {} declares the language,European Space Agency,Finnish,French
The twin city of Prague is Berlin.,1,The twin city of {} is,Prague,Berlin,Berlin
The twin city of Prague is Jerusalem.,0,The twin city of {} is,Prague,Jerusalem,Berlin
Arab is affiliated with the religion Islam.,1,{} is affiliated with the religion,Arab,Islam,Islam
Arab is affiliated with the religion Christianity.,0,{} is affiliated with the religion,Arab,Christianity,Islam
Geoffrey de Montbray holds the position of bishop.,1,{} holds the position of,Geoffrey de Montbray,bishop,bishop
Geoffrey de Montbray holds the position of pope.,0,{} holds the position of,Geoffrey de Montbray,pope,bishop
The law in Siuntio declares the language Swedish.,1,The law in {} declares the language,Siuntio,Swedish,Swedish
The law in Siuntio declares the language English.,0,The law in {} declares the language,Siuntio,English,Swedish
Jerry Donahue plays the guitar.,1,{} plays the,Jerry Donahue,guitar,guitar
Jerry Donahue plays the piano.,0,{} plays the,Jerry Donahue,piano,guitar
Bernard Blancan is a native speaker of French.,1,{} is a native speaker of,Bernard Blancan,French,French
Bernard Blancan is a native speaker of Spanish.,0,{} is a native speaker of,Bernard Blancan,Spanish,French
Carlos Rodon plays in the position of pitcher.,1,{} plays in the position of,Carlos Rodon,pitcher,pitcher
Carlos Rodon plays in the position of linebacker.,0,{} plays in the position of,Carlos Rodon,linebacker,pitcher
Hermes House Band was developed in Netherlands.,1,{} was developed in,Hermes House Band,Netherlands,Netherlands
Hermes House Band was developed in Philippines.,0,{} was developed in,Hermes House Band,Philippines,Netherlands
Haji Shariatullah is follower of Islam.,1,{} is follower of,Haji Shariatullah,Islam,Islam
Haji Shariatullah is follower of Buddhism.,0,{} is follower of,Haji Shariatullah,Buddhism,Islam
Abd el-Ouahed ben Messaoud was originally from Morocco.,1,{} was originally from,Abd el-Ouahed ben Messaoud,Morocco,Morocco
Abd el-Ouahed ben Messaoud was originally from Athens.,0,{} was originally from,Abd el-Ouahed ben Messaoud,Athens,Morocco
Johan Cruyff speaks Dutch.,1,{} speaks,Johan Cruyff,Dutch,Dutch
Johan Cruyff speaks Catalan.,0,{} speaks,Johan Cruyff,Catalan,Dutch
The Pretender premiered on NBC.,1,{} premiered on,The Pretender,NBC,NBC
The Pretender premiered on MTV.,0,{} premiered on,The Pretender,MTV,NBC
Bedourie is located in the country of Australia.,1,{} is located in the country of,Bedourie,Australia,Australia
Bedourie is located in the country of Sweden.,0,{} is located in the country of,Bedourie,Sweden,Australia
The expertise of Olin J. Eggen is astronomy.,1,The expertise of {} is,Olin J. Eggen,astronomy,astronomy
The expertise of Olin J. Eggen is physics.,0,The expertise of {} is,Olin J. Eggen,physics,astronomy
Ctesibius's life ended in Alexandria.,1,{}'s life ended in,Ctesibius,Alexandria,Alexandria
Ctesibius's life ended in Santiago.,0,{}'s life ended in,Ctesibius,Santiago,Alexandria
Fuji Kyuko's headquarters are in Japan.,1,{}'s headquarters are in,Fuji Kyuko,Japan,Japan
Fuji Kyuko's headquarters are in Chennai.,0,{}'s headquarters are in,Fuji Kyuko,Chennai,Japan
Jonathan Kozol is originally from Boston.,1,{} is originally from,Jonathan Kozol,Boston,Boston
Jonathan Kozol is originally from Alexandria.,0,{} is originally from,Jonathan Kozol,Alexandria,Boston
Edward Theodore Compton has a citizenship from Germany.,1,{} has a citizenship from,Edward Theodore Compton,Germany,Germany
Edward Theodore Compton has a citizenship from Ireland.,0,{} has a citizenship from,Edward Theodore Compton,Ireland,Germany
Joseph Priestley took up work in Paris.,1,{} took up work in,Joseph Priestley,Paris,Paris
Joseph Priestley took up work in London.,0,{} took up work in,Joseph Priestley,London,Paris
The original language of Lured is English.,1,The original language of {} is,Lured,English,English
The original language of Lured is French.,0,The original language of {} is,Lured,French,English
The language of The Crime of Sylvestre Bonnard is French.,1,The language of {} is,The Crime of Sylvestre Bonnard,French,French
The language of The Crime of Sylvestre Bonnard is English.,0,The language of {} is,The Crime of Sylvestre Bonnard,English,French
Pillsbury Company originated in Minneapolis.,1,{} originated in,Pillsbury Company,Minneapolis,Minneapolis
Pillsbury Company originated in Perth.,0,{} originated in,Pillsbury Company,Perth,Minneapolis
Roy Abernethy originates from Pennsylvania.,1,{} originates from,Roy Abernethy,Pennsylvania,Pennsylvania
Roy Abernethy originates from Manhattan.,0,{} originates from,Roy Abernethy,Manhattan,Pennsylvania
Julius III holds the title of pope.,1,{} holds the title of,Julius III,pope,pope
Julius III holds the title of bishop.,0,{} holds the title of,Julius III,bishop,pope
Hearts of Soul was from Netherlands.,1,{} was from,Hearts of Soul,Netherlands,Netherlands
Hearts of Soul was from France.,0,{} was from,Hearts of Soul,France,Netherlands
The language used by Ivan Mazepa is Ukrainian.,1,The language used by {} is,Ivan Mazepa,Ukrainian,Ukrainian
The language used by Ivan Mazepa is Spanish.,0,The language used by {} is,Ivan Mazepa,Spanish,Ukrainian
Waynesville School District is in Missouri.,1,{} is in,Waynesville School District,Missouri,Missouri
Waynesville School District is in Massachusetts.,0,{} is in,Waynesville School District,Massachusetts,Missouri
Shining Hearts was a product of Sega.,1,{} was a product of,Shining Hearts,Sega,Sega
Shining Hearts was a product of Apple.,0,{} was a product of,Shining Hearts,Apple,Sega
The official language of L'Isle is French.,1,The official language of {} is,L'Isle,French,French
The official language of L'Isle is Spanish.,0,The official language of {} is,L'Isle,Spanish,French
Kenmore Appliances is produced by Sears.,1,{} is produced by,Kenmore Appliances,Sears,Sears
Kenmore Appliances is produced by Nissan.,0,{} is produced by,Kenmore Appliances,Nissan,Sears
Eisenhower Range is in Antarctica.,1,{} is in,Eisenhower Range,Antarctica,Antarctica
Eisenhower Range is in Europe.,0,{} is in,Eisenhower Range,Europe,Antarctica
Alfred Bruneau performs opera.,1,{} performs,Alfred Bruneau,opera,opera
Alfred Bruneau performs jazz.,0,{} performs,Alfred Bruneau,jazz,opera
"Marian High School (Mishawaka, Indiana) can be found in Indiana.",1,{} can be found in,"Marian High School (Mishawaka, Indiana)",Indiana,Indiana
"Marian High School (Mishawaka, Indiana) can be found in Brooklyn.",0,{} can be found in,"Marian High School (Mishawaka, Indiana)",Brooklyn,Indiana
Knut Reiersrud originates from Oslo.,1,{} originates from,Knut Reiersrud,Oslo,Oslo
Knut Reiersrud originates from Shanghai.,0,{} originates from,Knut Reiersrud,Shanghai,Oslo
Albert Chamberland plays the instrument violin.,1,{} plays the instrument,Albert Chamberland,violin,violin
Albert Chamberland plays the instrument guitar.,0,{} plays the instrument,Albert Chamberland,guitar,violin
Tony Benn was employed in London.,1,{} was employed in,Tony Benn,London,London
Tony Benn was employed in Boston.,0,{} was employed in,Tony Benn,Boston,London
Urangan is located in the country of Australia.,1,{} is located in the country of,Urangan,Australia,Australia
Urangan is located in the country of Thailand.,0,{} is located in the country of,Urangan,Thailand,Australia
Charles Goldfarb is employed by IBM.,1,{} is employed by,Charles Goldfarb,IBM,IBM
Charles Goldfarb is employed by BBC.,0,{} is employed by,Charles Goldfarb,BBC,IBM
New York News premiered on CBS.,1,{} premiered on,New York News,CBS,CBS
New York News premiered on NBC.,0,{} premiered on,New York News,NBC,CBS
Turkey is a member of NATO.,1,{} is a member of,Turkey,NATO,NATO
Turkey is a member of FIFA.,0,{} is a member of,Turkey,FIFA,NATO
Ljubljana is a twin city of Vienna.,1,{} is a twin city of,Ljubljana,Vienna,Vienna
Ljubljana is a twin city of Toronto.,0,{} is a twin city of,Ljubljana,Toronto,Vienna
Fred Urquhart has a citizenship from Canada.,1,{} has a citizenship from,Fred Urquhart,Canada,Canada
Fred Urquhart has a citizenship from Ghana.,0,{} has a citizenship from,Fred Urquhart,Ghana,Canada
The original language of The Last Wish was Polish.,1,The original language of {} was,The Last Wish,Polish,Polish
The original language of The Last Wish was English.,0,The original language of {} was,The Last Wish,English,Polish
Elsie Lefebvre originates from Montreal.,1,{} originates from,Elsie Lefebvre,Montreal,Montreal
Elsie Lefebvre originates from Paris.,0,{} originates from,Elsie Lefebvre,Paris,Montreal
CBS Morning News debuted on CBS.,1,{} debuted on,CBS Morning News,CBS,CBS
CBS Morning News debuted on MTV.,0,{} debuted on,CBS Morning News,MTV,CBS
David Whitehurst plays as quarterback.,1,{} plays as,David Whitehurst,quarterback,quarterback
David Whitehurst plays as tackle.,0,{} plays as,David Whitehurst,tackle,quarterback
Brian Mannix was originally from Melbourne.,1,{} was originally from,Brian Mannix,Melbourne,Melbourne
Brian Mannix was originally from Dublin.,0,{} was originally from,Brian Mannix,Dublin,Melbourne
Nikhil Chinapa was born in Bangalore.,1,{} was born in,Nikhil Chinapa,Bangalore,Bangalore
Nikhil Chinapa was born in Rome.,0,{} was born in,Nikhil Chinapa,Rome,Bangalore
Pars Khodro is based in Tehran.,1,{} is based in,Pars Khodro,Tehran,Tehran
Pars Khodro is based in Helsinki.,0,{} is based in,Pars Khodro,Helsinki,Tehran
Sean Price passed away at Brooklyn.,1,{} passed away at,Sean Price,Brooklyn,Brooklyn
Sean Price passed away at London.,0,{} passed away at,Sean Price,London,Brooklyn
The original language of June R is Tamil.,1,The original language of {} is,June R,Tamil,Tamil
The original language of June R is Spanish.,0,The original language of {} is,June R,Spanish,Tamil
Edward Braddon's profession is a politician.,1,{}'s profession is a,Edward Braddon,politician,politician
Edward Braddon's profession is a actor.,0,{}'s profession is a,Edward Braddon,actor,politician
Mehmed VI was born in Istanbul.,1,{} was born in,Mehmed VI,Istanbul,Istanbul
Mehmed VI was born in Philadelphia.,0,{} was born in,Mehmed VI,Philadelphia,Istanbul
École des hautes études commerciales du nord is based in Paris.,1,{} is based in,École des hautes études commerciales du nord,Paris,Paris
École des hautes études commerciales du nord is based in Houston.,0,{} is based in,École des hautes études commerciales du nord,Houston,Paris
Kevin Seconds originates from Sacramento.,1,{} originates from,Kevin Seconds,Sacramento,Sacramento
Kevin Seconds originates from London.,0,{} originates from,Kevin Seconds,London,Sacramento
"In Saint Lucia, they understand English.",1,"In {}, they understand",Saint Lucia,English,English
"In Saint Lucia, they understand French.",0,"In {}, they understand",Saint Lucia,French,English
The Seven Crystal Balls was created in the country of Belgium.,1,{} was created in the country of,The Seven Crystal Balls,Belgium,Belgium
The Seven Crystal Balls was created in the country of India.,0,{} was created in the country of,The Seven Crystal Balls,India,Belgium
Sofia is a twin city of Madrid.,1,{} is a twin city of,Sofia,Madrid,Madrid
Sofia is a twin city of Beijing.,0,{} is a twin city of,Sofia,Beijing,Madrid
Louis Moreau Gottschalk plays the piano.,1,{} plays the,Louis Moreau Gottschalk,piano,piano
Louis Moreau Gottschalk plays the violin.,0,{} plays the,Louis Moreau Gottschalk,violin,piano
Auguste Couder speaks the language French.,1,{} speaks the language,Auguste Couder,French,French
Auguste Couder speaks the language English.,0,{} speaks the language,Auguste Couder,English,French
Brahmagupta works in the field of mathematics.,1,{} works in the field of,Brahmagupta,mathematics,mathematics
Brahmagupta works in the field of physics.,0,{} works in the field of,Brahmagupta,physics,mathematics
"In Vaala, they understand Finnish.",1,"In {}, they understand",Vaala,Finnish,Finnish
"In Vaala, they understand English.",0,"In {}, they understand",Vaala,English,Finnish
Zeroman was developed in Canada.,1,{} was developed in,Zeroman,Canada,Canada
Zeroman was developed in Japan.,0,{} was developed in,Zeroman,Japan,Canada
USS Missouri is named after Missouri.,1,{} is named after,USS Missouri,Missouri,Missouri
USS Missouri is named after capital.,0,{} is named after,USS Missouri,capital,Missouri
The original language of Vjesnik is Croatian.,1,The original language of {} is,Vjesnik,Croatian,Croatian
The original language of Vjesnik is Norwegian.,0,The original language of {} is,Vjesnik,Norwegian,Croatian
Louis Banks performs jazz.,1,{} performs,Louis Banks,jazz,jazz
Louis Banks performs opera.,0,{} performs,Louis Banks,opera,jazz
Patsy Walker is affiliated with the Avengers.,1,{} is affiliated with the,Patsy Walker,Avengers,Avengers
Patsy Walker is affiliated with the FIFA.,0,{} is affiliated with the,Patsy Walker,FIFA,Avengers
The profession of Amber Gurung is composer.,1,The profession of {} is,Amber Gurung,composer,composer
The profession of Amber Gurung is politician.,0,The profession of {} is,Amber Gurung,politician,composer
San Francisco is a twin city of Naples.,1,{} is a twin city of,San Francisco,Naples,Naples
San Francisco is a twin city of Edinburgh.,0,{} is a twin city of,San Francisco,Edinburgh,Naples
Walter Ulbricht was employed in Berlin.,1,{} was employed in,Walter Ulbricht,Berlin,Berlin
Walter Ulbricht was employed in Paris.,0,{} was employed in,Walter Ulbricht,Paris,Berlin
Pavel Bure holds a citizenship from Russia.,1,{} holds a citizenship from,Pavel Bure,Russia,Russia
Pavel Bure holds a citizenship from Belgium.,0,{} holds a citizenship from,Pavel Bure,Belgium,Russia
The headquarter of Istanbul Technical University is located in Istanbul.,1,The headquarter of {} is located in,Istanbul Technical University,Istanbul,Istanbul
The headquarter of Istanbul Technical University is located in Chandler.,0,The headquarter of {} is located in,Istanbul Technical University,Chandler,Istanbul
The headquarter of Brisbane Times is in Brisbane.,1,The headquarter of {} is in,Brisbane Times,Brisbane,Brisbane
The headquarter of Brisbane Times is in Cardiff.,0,The headquarter of {} is in,Brisbane Times,Cardiff,Brisbane
Genrikh Sapgir holds a citizenship from Russia.,1,{} holds a citizenship from,Genrikh Sapgir,Russia,Russia
Genrikh Sapgir holds a citizenship from Australia.,0,{} holds a citizenship from,Genrikh Sapgir,Australia,Russia
Anne Grant worked in Scotland.,1,{} worked in,Anne Grant,Scotland,Scotland
Anne Grant worked in Helsinki.,0,{} worked in,Anne Grant,Helsinki,Scotland
Svend Asmussen plays violin.,1,{} plays,Svend Asmussen,violin,violin
